sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
I0068028,images/I0068028.jpg,I0068028,images/I0068028.jpg,I0068028,images/I0068028.jpg,I0068028
I0068029,images/I0068029.jpg,I0068029,images/I0068029.jpg,I0068029,images/I0068029.jpg,I0068029
I0068030,images/I0068030.jpg,I0068030,images/I0068030.jpg,I0068030,images/I0068030.jpg,I0068030
I0068031,images/I0068031.jpg,I0068031,images/I0068031.jpg,I0068031,images/I0068031.jpg,I0068031
I0068032,images/I0068032.jpg,I0068032,images/I0068032.jpg,I0068032,images/I0068032.jpg,I0068032
I0068033,images/I0068033.jpg,I0068033,images/I0068033.jpg,I0068033,images/I0068033.jpg,I0068033
I0068034,images/I0068034.jpg,I0068034,images/I0068034.jpg,I0068034,images/I0068034.jpg,I0068034
I0068035,images/I0068035.jpg,I0068035,images/I0068035.jpg,I0068035,images/I0068035.jpg,I0068035
I0068036,images/I0068036.jpg,I0068036,images/I0068036.jpg,I0068036,images/I0068036.jpg,I0068036
I0068037,images/I0068037.jpg,I0068037,images/I0068037.jpg,I0068037,images/I0068037.jpg,I0068037
I0068038,images/I0068038.jpg,I0068038,images/I0068038.jpg,I0068038,images/I0068038.jpg,I0068038
I0068039,images/I0068039.jpg,I0068039,images/I0068039.jpg,I0068039,images/I0068039.jpg,I0068039
I0068040,images/I0068040.jpg,I0068040,images/I0068040.jpg,I0068040,images/I0068040.jpg,I0068040
I0068041,images/I0068041.jpg,I0068041,images/I0068041.jpg,I0068041,images/I0068041.jpg,I0068041
I0068042,images/I0068042.jpg,I0068042,images/I0068042.jpg,I0068042,images/I0068042.jpg,I0068042
I0068043,images/I0068043.jpg,I0068043,images/I0068043.jpg,I0068043,images/I0068043.jpg,I0068043
I0068044,images/I0068044.jpg,I0068044,images/I0068044.jpg,I0068044,images/I0068044.jpg,I0068044
I0068045,images/I0068045.jpg,I0068045,images/I0068045.jpg,I0068045,images/I0068045.jpg,I0068045
I0068046,images/I0068046.jpg,I0068046,images/I0068046.jpg,I0068046,images/I0068046.jpg,I0068046
I0068047,images/I0068047.jpg,I0068047,images/I0068047.jpg,I0068047,images/I0068047.jpg,I0068047
I0068048,images/I0068048.jpg,I0068048,images/I0068048.jpg,I0068048,images/I0068048.jpg,I0068048
I0068049,images/I0068049.jpg,I0068049,images/I0068049.jpg,I0068049,images/I0068049.jpg,I0068049
I0068050,images/I0068050.jpg,I0068050,images/I0068050.jpg,I0068050,images/I0068050.jpg,I0068050
I0068051,images/I0068051.jpg,I0068051,images/I0068051.jpg,I0068051,images/I0068051.jpg,I0068051
I0068052,images/I0068052.jpg,I0068052,images/I0068052.jpg,I0068052,images/I0068052.jpg,I0068052
I0068053,images/I0068053.jpg,I0068053,images/I0068053.jpg,I0068053,images/I0068053.jpg,I0068053
I0068054,images/I0068054.jpg,I0068054,images/I0068054.jpg,I0068054,images/I0068054.jpg,I0068054
I0068055,images/I0068055.jpg,I0068055,images/I0068055.jpg,I0068055,images/I0068055.jpg,I0068055
I0068056,images/I0068056.jpg,I0068056,images/I0068056.jpg,I0068056,images/I0068056.jpg,I0068056
I0068057,images/I0068057.jpg,I0068057,images/I0068057.jpg,I0068057,images/I0068057.jpg,I0068057
I0068058,images/I0068058.jpg,I0068058,images/I0068058.jpg,I0068058,images/I0068058.jpg,I0068058
I0068059,images/I0068059.jpg,I0068059,images/I0068059.jpg,I0068059,images/I0068059.jpg,I0068059
I0068060,images/I0068060.jpg,I0068060,images/I0068060.jpg,I0068060,images/I0068060.jpg,I0068060
I0068061,images/I0068061.jpg,I0068061,images/I0068061.jpg,I0068061,images/I0068061.jpg,I0068061
I0068062,images/I0068062.jpg,I0068062,images/I0068062.jpg,I0068062,images/I0068062.jpg,I0068062
I0068063,images/I0068063.jpg,I0068063,images/I0068063.jpg,I0068063,images/I0068063.jpg,I0068063
I0068064,images/I0068064.jpg,I0068064,images/I0068064.jpg,I0068064,images/I0068064.jpg,I0068064
I0068065,images/I0068065.jpg,I0068065,images/I0068065.jpg,I0068065,images/I0068065.jpg,I0068065
I0068066,images/I0068066.jpg,I0068066,images/I0068066.jpg,I0068066,images/I0068066.jpg,I0068066
